LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,ASSET_RATING,ASSET_RATING_BAND,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,NEW_BUILD_BENCHMARK,EXISTING_STOCK_BENCHMARK,BUILDING_LEVEL,MAIN_HEATING_FUEL,OTHER_FUEL_DESC,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,FLOOR_AREA,STANDARD_EMISSIONS,TARGET_EMISSIONS,TYPICAL_EMISSIONS,BUILDING_EMISSIONS,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL
82511830062013082122485632980130,,UK Pizza,224 Owton Manor Lane,TS25 3QD,334037230000,107,E,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2013-08-19,E06000001,E14000733,,2013-08-21,Mandatory issue (Marketed sale).,33,89,3,Grid Supplied Electricity,,,,119,112.35,74.61,198.95,241.1,No,,,4,Heating and Natural Ventilation,"UK Pizza, 224 Owton Manor Lane",Hartlepool,Hartlepool
82528970602015042208224640600940,,"77, Church Street",,TS24 7DN,660047640000,86,D,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2015-04-10,E06000001,E14000733,,2015-04-22,Mandatory issue (Property to let).,32,94,3,Grid Supplied Electricity,,,,93,93.09,59.8,175.24,160.74,No,,,4,Heating and Natural Ventilation,"77, Church Street",Hartlepool,Hartlepool
82781297052013081210041307009628,,234c Owton Manor Lane,,TS25 3QD,689177620000,69,C,A1/A2 Retail and Financial/Professional services,2013-08-01,E06000001,E14000733,,2013-08-12,Mandatory issue (Property to let).,29,78,3,Grid Supplied Electricity,,,,41,67.84,39.69,105.85,92.94,No,,,4,Heating and Natural Ventilation,234c Owton Manor Lane,Hartlepool,Hartlepool
71481499752019011523220309909235,,Pout & Foster Ltd,Mainsforth Terrace,TS25 1NR,254599030000,66,C,B2 to B7 General Industrial and Special Industrial Groups,2018-10-31,E06000001,E14000733,,2019-01-15,Mandatory issue (Property to let).,29,86,3,Grid Supplied Electricity,,,,75,42.68,24.99,73.24,56.38,No,,,4,Air Conditioning,"Pout & Foster Ltd, Mainsforth Terrace",Hartlepool,Hartlepool
71709722032012101520453852900090,,A T S Euromaster,York Road,TS26 9AA,205205960000,142,F,B1 Offices and Workshop businesses,2012-10-15,E06000001,E14000733,,2012-10-15,Mandatory issue (Marketed sale).,30,80,3,Grid Supplied Electricity,,,,186,14.67,8.77,23.38,41.71,No,,,4,Heating and Natural Ventilation,"A T S Euromaster, York Road",Hartlepool,Hartlepool
71833750802012101719283682309900,,4 Powlett Road,,TS24 8LZ,185065380000,77,D,A1/A2 Retail and Financial/Professional services,2012-10-12,E06000001,E14000733,,2012-10-17,Mandatory issue (Marketed sale).,29,78,3,Natural Gas,,,,128,70.39,41.21,109.89,108.23,No,,,4,Heating and Natural Ventilation,4 Powlett Road,Hartlepool,Hartlepool
79687365012013051415103800009634,,Golden River Chop Suey House,26 The Front,TS25 1BS,649350430000,52,C,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2013-05-06,E06000001,E14000733,,2013-05-14,Mandatory issue (Marketed sale).,32,86,3,Natural Gas,,,,209,63.95,41.07,109.53,66.35,No,,,4,Heating and Natural Ventilation,"Golden River Chop Suey House, 26 The Front",Hartlepool,Hartlepool
80292540042013053013022334800250,,80 Sandringham Road,,TS26 8PS,700804830000,115,E,B1 Offices and Workshop businesses,2013-05-24,E06000001,E14000733,,2013-05-30,Mandatory issue (Marketed sale).,28,75,3,Natural Gas,,,,232,40.02,22.64,60.38,91.73,No,,,4,Heating and Natural Ventilation,80 Sandringham Road,Hartlepool,Hartlepool
80982200022013061823230906960330,,Clever Clogs Day Nursery,Throston Grange Lane,TS26 0UF,302402640000,71,C,D1 Non-residential Institutions - Education,2013-06-17,E06000001,E14000733,,2013-06-18,Mandatory issue (Marketed sale).,27,73,3,Natural Gas,,,,301,28.37,15.55,41.48,40.24,No,,,4,Heating and Natural Ventilation,"Clever Clogs Day Nursery, Throston Grange Lane",Hartlepool,Hartlepool
86573440442013120512310639409700,,1 Groves Street,,TS24 0NY,646464430000,65,C,A1/A2 Retail and Financial/Professional services,2013-10-31,E06000001,E14000733,,2013-12-05,Mandatory issue (Marketed sale).,34,92,3,Grid Supplied Electricity,,,,81,85.86,59.06,157.48,111.68,Yes,,1,5,Air Conditioning,1 Groves Street,Hartlepool,Hartlepool
88309980142014013009391180410290,WORKSHOP TO REAR,26 Stockton Road,,TS25 1RL,119668480001,236,G,B1 Offices and Workshop businesses,2013-01-20,E06000001,E14000733,,2014-01-30,Mandatory issue (Non-marketed sale).,43,116,3,Grid Supplied Electricity,,,,125,30.45,26.44,70.51,143.74,No,,,4,Heating and Mechanical Ventilation,"WORKSHOP TO REAR, 26 Stockton Road",Hartlepool,Hartlepool
88771401212015032612475204909479,,B76 (Barnardos) Young Peoples Advice Centre,76 Church Street,TS24 7DN,490014770000,117,E,B1 Offices and Workshop businesses,2013-11-20,E06000001,E14000733,,2015-03-26,Mandatory issue (Property to let).,36,107,3,Natural Gas,,,,288,28.31,20.59,60.32,65.99,No,,,4,Heating and Natural Ventilation,"B76 (Barnardos) Young Peoples Advice Centre, 76 Church Street",Hartlepool,Hartlepool
89038020022014022611071451920120,,Krimos,"Neptune House, Slake Terrace",TS24 0YB,253927180000,88,D,A3/A4/A5 Restaurant and Cafes/Drinking Establishments and Hot Food takeaways,2014-02-19,E06000001,E14000733,,2014-02-26,Mandatory issue (Property to let).,36,96,3,Grid Supplied Electricity,,,,294,131.91,94.55,252.15,231.08,Yes,,2,5,Air Conditioning,"Krimos, Neptune House, Slake Terrace",Hartlepool,Hartlepool
90583280022014061311263946040240,,2 Lady Smith Street,,TS25 1PX,445888600000,117,E,B1 Offices and Workshop businesses,2014-04-02,E06000001,E14000733,,2014-06-13,Mandatory issue (Non-marketed sale).,28,74,3,Natural Gas,,,,355,43.07,23.8,63.46,100.53,No,,,4,Heating and Natural Ventilation,2 Lady Smith Street,Hartlepool,Hartlepool
92152550942014062015510021200960,,Porkys Butcher,5a Victoria Road,TS24 7SE,492995220000,71,C,A1/A2 Retail and Financial/Professional services,2014-06-19,E06000001,E14000733,,2014-06-20,Mandatory issue (Marketed sale).,27,71,3,Grid Supplied Electricity,,,,79,59.83,31.94,85.16,85.36,No,,,4,Heating and Natural Ventilation,"Porkys Butcher, 5a Victoria Road",Hartlepool,Hartlepool
9260240022009013008515863090270,,"132, York Road",,TS26 9DA,768642370000,103,E,Warehouse and storage,2009-01-02,E06000001,E14000733,Hartlepool (B),2009-01-30,,30,60,3,Grid Supplied Electricity,,,,332,,,,,,,,,Heating and Natural Ventilation,"132, York Road",Hartlepool,Hartlepool
93001180442019011522343739409700,,Total Training,Mainsforth Terrace,TS25 1NR,648308430000,93,D,B1 Offices and Workshop businesses,2018-10-31,E06000001,E14000733,,2019-01-15,Mandatory issue (Property to let).,30,87,3,Grid Supplied Electricity,,,,902,22.1,13.13,38.49,41.27,No,,,4,Heating and Natural Ventilation,"Total Training, Mainsforth Terrace",Hartlepool,Hartlepool
93190051212014062713495801009420,,Tower House,3-7 Tower Street,TS24 7HH,400611720000,621,G,B1 Offices and Workshop businesses,2014-06-25,E06000001,E14000733,,2014-06-27,Mandatory issue (Marketed sale).,43,126,3,Grid Supplied Electricity,,,,609,24.66,21.14,61.96,306.23,No,,,4,Heating and Mechanical Ventilation,"Tower House, 3-7 Tower Street",Hartlepool,Hartlepool
93964240062014072417261511230970,,Wilsons Butchers,13 Davison Drive,TS24 9BW,712340100000,77,D,A1/A2 Retail and Financial/Professional services,2014-07-21,E06000001,E14000733,,2014-07-24,Mandatory issue (Marketed sale).,29,86,3,Natural Gas,,,,164,49.2,28.74,84.22,75.64,Yes,,1,4,Air Conditioning,"Wilsons Butchers, 13 Davison Drive",Hartlepool,Hartlepool
